L.p.,Sex,Age_2,Man_nman,Av_1,Dst_2,Cst_3,Av_4,Av_5,Dst_6,Dst_7,Cst_8,Dst_9,Dst_10,Av_11,Av_12,Cst_13,Pas_14,Av_15,Dst_16,Av_17,Dst_18,Cst_19,Cst_20,Pas_21,Cst_22,Dst_23,Pas_24,Av_25,Cst_26,Pas_27,Pas_28,Pas_29,Dst_30,Pas_31,Av_Pass,ConstrB,DestrB,AnxEm,HappEm,DejEm,AngerEm
2849,1,4,0,1,1,3,2,1,1,1,4,1,2,1,3,3,1,2,1,1,2,3,3,2,3,1,1,1,1,1,2,1,1,1,1.625,2.857143,1.333333,1.5,3.29,1,1.5
2850,1,3,0,2,1,3,1,2,1,1,4,2,1,1,2,4,2,3,2,1,1,4,4,1,3,1,1,1,2,1,1,2,1,2,1.625,3.428571,1.333333,1.75,3.29,1.4,1.75
2851,1,4,0,1,1,4,2,1,1,1,4,1,2,1,1,2,1,2,2,1,1,4,4,1,1,1,1,1,2,1,1,2,1,1,1.25,3,1.333333,1.25,3.43,1,1.25
2852,1,1,0,1,1,3,1,1,1,1,3,1,1,1,2,3,2,1,2,1,2,3,3,1,3,1,1,1,3,2,1,1,2,1,1.25,3,1.5,1.13,3.43,1,1.5
2853,1,4,0,1,2,4,1,1,2,2,3,1,1,1,1,3,1,1,2,1,1,4,3,1,3,1,1,1,3,1,1,1,1,1,1,3.285714,1.333333,1.13,3,1,1.5
2854,0,2,0,2,3,2,3,1,2,4,2,3,3,3,4,2,3,4,2,3,3,2,1,2,2,3,2,3,2,1,2,3,2,3,2.75,1.857143,2.5,1.88,1.57,3,2.75
2855,1,4,1,1,2,3,1,1,1,1,2,1,1,1,2,3,1,2,2,1,2,3,3,1,3,1,3,1,3,2,1,3,1,3,1.5,2.857143,1.333333,1.38,2.71,1.4,1.75
2856,1,2,0,1,1,4,1,2,1,1,4,2,1,1,2,3,2,1,2,1,2,4,4,2,4,1,2,1,3,2,1,2,1,1,1.625,3.714286,1.5,1.75,1.43,2.2,2.25
2857,0,1,0,1,2,3,1,1,1,1,3,1,1,1,3,3,1,3,3,1,1,3,3,1,3,1,1,1,3,1,1,3,1,1,1.5,3,1.333333,2.13,2.86,1.2,1
2858,0,2,0,1,1,3,1,1,1,1,1,1,1,1,4,4,1,1,2,1,1,3,3,1,3,1,1,1,4,1,1,1,1,1,1.375,3,1.166667,1.5,3.29,1.4,1
2859,0,2,0,1,1,3,1,1,1,1,3,1,1,1,1,3,2,1,2,1,1,3,4,1,3,1,1,1,3,1,1,2,1,2,1.125,3.142857,1.166667,1.5,2.86,1.6,2
2860,1,2,0,1,1,4,1,2,1,1,4,1,1,2,2,3,1,1,2,1,2,4,4,2,4,1,3,1,4,2,1,2,1,2,1.625,3.857143,1.333333,1.38,2.43,1.6,2
2861,1,2,0,2,2,2,2,1,1,3,2,1,1,3,2,2,1,4,4,2,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1.875,1.714286,1.833333,1.88,2.57,1.2,1.75
2862,0,3,0,1,1,3,2,2,1,1,2,2,2,3,3,4,1,1,2,1,2,3,3,1,3,1,1,1,1,2,1,1,1,1,1.5,2.714286,1.666667,2.88,2.43,1.4,1.75
2863,1,3,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,4,4,1,4,1,4,1,4,1,1,1,1,1,1.375,4,1.166667,1.63,3.71,1,1
2864,0,2,1,1,2,3,2,2,1,1,4,1,1,1,2,3,1,1,4,3,2,3,3,1,3,3,1,1,3,1,1,2,1,2,1.375,3.142857,1.666667,2.63,3.43,1.2,2
2865,1,2,1,1,1,4,1,1,1,1,4,1,1,1,4,4,1,2,2,1,1,4,4,1,4,4,1,1,4,1,1,2,1,2,1.5,4,1.166667,1.75,2.29,1.2,1.25
2866,1,2,1,1,2,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,4,4,1,4,1,1,1,4,2,1,1,1,1,1,4,1,1.38,3.14,1.2,1.5
2867,1,2,0,2,1,3,2,2,1,1,3,1,1,1,3,3,2,2,2,2,2,3,3,2,3,1,1,2,3,1,1,1,1,1,2,3,1.333333,1.5,3,1.2,1.75
2868,1,1,0,1,2,4,1,1,1,1,4,1,1,1,1,4,1,1,1,2,1,4,4,2,3,1,4,2,3,2,1,2,1,2,1.625,3.714286,1,1.25,3.29,1.2,1
2869,1,2,0,2,3,4,3,3,1,2,3,2,2,3,3,3,2,2,3,4,2,3,2,4,3,1,2,3,3,2,1,3,1,1,2.75,3,1.833333,2.38,2.71,1.8,2.25
2870,1,1,0,1,1,3,1,1,1,1,2,1,1,1,2,2,2,2,3,1,2,3,3,2,2,1,1,1,2,3,2,2,1,1,1.5,2.428571,1.5,2,2.14,2,2
2871,0,1,0,2,2,2,1,1,1,1,3,2,2,1,1,3,2,2,3,2,2,3,3,1,3,1,1,2,2,2,1,2,2,1,1.375,2.714286,2,3.13,2.43,1.6,2.25
2872,0,2,0,1,1,3,1,2,1,1,3,2,1,1,3,3,2,2,2,2,2,3,2,1,3,1,1,2,3,3,2,3,3,2,1.75,2.857143,1.833333,2,2.86,1.4,1.75
2873,0,1,0,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.142857,2,1.5,3.57,1.4,1.75
2874,1,1,0,1,1,3,1,2,1,1,3,1,1,1,1,3,2,2,2,1,1,1,3,1,3,2,1,1,3,2,1,2,1,2,1.375,2.714286,1.166667,1.88,2.29,1.6,1.75
2875,1,2,0,1,2,3,2,2,1,1,3,1,1,2,2,3,1,2,2,1,2,3,4,1,3,1,1,1,3,1,1,1,1,1,1.5,3.142857,1.333333,1.63,2.29,1.4,1.75
2876,0,2,0,1,1,4,1,1,1,1,4,1,1,1,4,4,1,1,1,1,1,4,4,1,4,4,1,1,4,1,1,1,1,1,1.375,4,1,1,3.57,1,1
2877,0,1,0,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,4,4,1,4,1,1,1,4,1,1,1,1,1,1,4,1,1,3.86,1,1.25
2878,0,1,0,1,2,1,3,2,1,2,3,2,2,3,2,2,3,2,4,4,3,1,2,2,2,1,4,4,2,2,2,3,1,1,2.75,1.857143,2.166667,3.5,1.71,2.2,3
2879,0,2,0,2,2,2,3,2,2,1,3,3,2,2,1,2,2,3,3,2,3,2,2,4,3,3,2,4,2,3,3,3,1,2,2.625,2.285714,2.333333,2.75,2.29,1.6,2.75
2880,1,2,0,2,2,3,2,1,1,1,4,2,1,1,3,2,1,2,1,1,2,3,2,1,3,1,1,1,3,2,2,3,1,2,1.5,2.857143,1.333333,3.13,1.86,2,2
2881,1,3,1,1,1,4,1,1,1,1,4,1,2,1,1,3,1,1,1,1,1,3,3,2,3,1,2,1,3,1,2,2,1,1,1.25,3.285714,1.166667,3.13,2.29,1.2,2.25
2882,1,1,0,2,4,2,1,1,1,1,3,1,1,1,2,3,1,2,3,1,1,3,4,2,3,1,3,3,2,2,1,3,2,2,1.875,2.857143,1.5,2.13,2.86,1.4,2.25
