L.p.,Sex,Age_2,Man_nman,Av_1,Dst_2,Cst_3,Av_4,Av_5,Dst_6,Dst_7,Cst_8,Dst_9,Dst_10,Av_11,Av_12,Cst_13,Pas_14,Av_15,Dst_16,Av_17,Dst_18,Cst_19,Cst_20,Pas_21,Cst_22,Dst_23,Pas_24,Av_25,Cst_26,Pas_27,Pas_28,Pas_29,Dst_30,Pas_31,Av_Pass,ConstrB,DestrB,AnxEm,HappEm,DejEm,AngerEm
863,1,2,0,2,1,3,2,1,1,1,3,1,2,1,2,2,3,2,2,1,1,2,3,2,3,1,3,2,1,2,2,2,1,2,2.125,2.428571,1.333333,2.25,3.71,1.4,1.5
864,1,2,,1,1,4,1,1,1,1,4,1,1,1,3,3,1,1,1,2,1,3,3,2,4,1,2,1,1,1,1,1,1,2,1.5,3.142857,1,1,3.57,1,1.25
865,1,1,0,3,2,2,2,2,2,3,3,2,3,2,3,4,4,3,3,2,4,2,3,4,2,4,2,4,3,3,3,3,3,3,3,2.714286,2.833333,2.63,2.86,2.4,1.75
866,0,3,0,2,2,3,2,2,1,2,3,2,1,2,2,2,2,3,2,1,2,3,4,2,2,1,3,1,4,3,2,2,1,4,2.125,3,1.5,3.13,2,2.8,2.5
867,0,2,0,2,2,3,1,2,1,1,3,2,1,2,2,4,1,1,2,2,1,3,3,1,3,1,2,1,3,1,1,1,2,1,1.375,3.142857,1.5,1.25,2.43,1,1.5
868,1,1,,1,1,3,1,1,2,1,3,1,1,2,2,4,1,3,2,1,1,3,3,1,3,1,1,1,3,1,1,2,2,2,1.375,3.142857,1.5,1.38,3.86,1.2,1.75
869,1,1,0,2,2,3,1,2,2,2,3,2,1,2,2,3,1,1,3,1,2,3,3,1,3,1,1,1,3,1,1,3,1,3,1.25,3,1.833333,1.63,3.14,1,1.25
870,1,1,0,1,1,3,1,1,2,1,4,1,1,1,1,4,2,1,1,3,1,3,3,1,3,1,1,1,3,2,1,1,2,1,1.125,3.285714,1.333333,1,3,1.4,1.25
871,,2,0,1,2,4,1,1,1,1,3,2,2,1,3,3,1,2,2,1,1,4,4,2,2,1,1,1,3,2,1,3,1,2,1.5,3.285714,1.5,1,2,1.4,1.5
872,0,4,0,1,2,4,1,1,1,4,1,1,1,1,1,4,1,4,2,1,1,4,4,1,4,4,4,1,1,1,4,2,1,1,1.75,3.142857,1.166667,1.25,3.71,1.2,1.5
873,0,2,0,2,2,2,1,2,1,1,3,1,1,2,2,3,1,1,2,1,2,3,3,1,3,1,1,1,2,1,1,3,1,1,1.25,2.714286,1.333333,1.13,2.71,1.2,2
874,0,3,0,2,2,3,1,1,1,2,3,1,1,1,2,3,1,2,2,1,2,3,3,1,3,1,1,1,3,1,1,2,1,2,1.25,3,1.333333,1.38,3,1.4,1.75
875,0,1,0,1,2,3,2,2,1,1,3,1,2,1,1,3,2,2,3,1,1,3,3,1,4,1,1,2,3,1,1,2,1,2,1.625,3.142857,1.5,1.63,1.86,1.6,2
876,0,1,0,2,3,2,2,3,3,2,4,4,4,3,2,2,3,3,2,2,3,3,2,3,2,3,3,4,3,2,2,1,3,2,2.875,2.571429,3.166667,2.63,2.71,3.2,2.5
877,0,2,0,1,2,4,1,2,2,1,4,2,1,1,1,4,1,2,1,1,2,4,4,3,4,1,1,1,1,1,1,1,1,1,1.5,3.571429,1.5,1.25,3.43,1.2,1.5
878,0,3,0,1,1,3,1,1,2,1,4,1,1,1,2,4,1,2,3,1,1,4,4,1,4,1,2,2,2,1,1,3,1,1,1.5,3.571429,1.5,1.13,3.43,1.4,1.5
879,0,2,0,2,2,3,2,1,1,3,3,2,2,1,3,2,1,3,3,3,2,3,2,1,3,1,1,1,3,1,1,3,2,2,1.625,2.714286,2,2.5,1.29,1.6,2
880,0,2,0,1,1,3,1,2,1,1,3,1,1,1,2,3,1,3,2,1,1,3,3,1,3,1,1,1,3,1,2,2,1,2,1.5,3,1.166667,1.5,2.29,1.6,1.75
881,0,2,0,2,2,4,1,2,1,1,4,1,1,1,2,4,1,1,3,2,2,4,3,1,4,1,1,2,4,1,1,2,2,2,1.375,3.857143,1.666667,1.88,2.43,1.4,1.5
882,0,1,0,1,1,4,1,1,1,1,4,1,1,1,4,4,1,2,3,2,1,4,3,1,4,1,1,1,1,1,1,1,1,1,1.5,3.428571,1.333333,1.13,2.29,1.4,2
883,0,2,0,1,1,4,1,1,1,1,4,1,1,1,1,4,1,2,1,1,1,4,4,1,4,1,1,1,4,1,1,1,1,1,1.125,4,1,1,3.57,1,1
884,0,2,0,1,2,3,1,2,1,1,3,1,2,1,2,3,2,1,3,3,1,2,2,3,3,1,2,1,4,1,1,2,1,2,1.75,2.857143,1.5,2,2.71,1.6,2.25
885,0,2,0,1,2,3,1,2,1,1,3,1,1,1,2,3,2,2,2,1,1,3,4,2,3,1,1,2,4,1,1,2,2,2,1.75,3.285714,1.333333,1.38,3.86,1,1.75
886,0,1,0,2,2,3,2,2,1,1,3,1,2,1,2,3,2,2,3,2,2,3,3,2,3,1,1,2,2,2,2,2,2,2,1.875,2.857143,1.833333,1.75,2.86,1.6,2.25
887,0,1,0,1,4,4,1,1,1,4,4,1,1,1,1,4,1,1,1,1,1,4,4,4,1,1,4,1,4,1,4,1,1,1,1.75,3.571429,1,1,4,1,1
888,0,2,0,3,3,3,2,3,1,1,2,2,2,3,3,3,2,2,3,2,1,3,3,2,3,1,2,2,3,2,1,2,3,2,2.25,2.857143,2,2.75,2.43,2.4,3
889,0,2,0,1,2,4,1,1,2,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,2.142857,1.666667,2,2,2,2
890,0,1,0,2,2,2,1,1,1,2,1,1,2,1,4,2,1,1,2,2,2,4,3,2,3,2,2,2,2,2,2,3,2,2,1.75,2.428571,1.666667,1.5,2,2,1.75
891,0,4,0,1,4,3,1,2,2,2,3,1,1,2,1,3,1,1,2,1,1,4,3,1,4,1,1,1,1,1,1,1,2,2,1.125,3,1.5,1.38,2.43,1.4,2.5
892,0,3,0,1,1,4,1,1,2,2,3,1,1,2,3,2,1,2,2,2,2,3,3,1,3,3,3,3,1,1,1,2,1,2,1.875,2.714286,1.5,1.63,2.71,2,2.25
893,0,2,0,1,2,4,1,3,2,4,3,1,1,1,4,4,1,2,3,1,2,4,3,1,3,1,1,1,4,1,1,2,1,2,1.75,3.571429,1.666667,1.25,3.29,1.8,2
894,0,3,0,1,1,4,1,1,1,1,4,1,1,1,4,4,1,1,2,1,1,4,4,1,4,4,4,1,1,1,4,1,1,2,1.75,3.571429,1.166667,1,4,1,1
895,0,2,0,1,2,3,1,2,1,2,2,2,1,2,2,3,2,2,4,2,1,3,3,2,3,2,2,1,2,1,2,3,2,2,1.75,2.714286,1.833333,2.25,2.29,1.6,2.25
896,0,1,0,1,1,4,1,1,1,3,1,1,1,1,1,4,1,4,2,1,1,4,4,1,4,1,4,1,1,1,1,3,1,2,1.75,3.142857,1.166667,1,3,1.4,1.25
897,0,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,2,2,2.333333,2.13,2.57,2.2,2
898,0,1,0,2,3,3,1,1,1,1,3,1,1,2,4,4,1,2,2,2,2,3,4,2,3,1,1,1,4,1,1,1,2,3,1.625,3.428571,1.5,1.63,3,1.2,1.5
899,0,2,0,2,3,2,3,4,3,3,2,4,4,2,2,2,1,1,1,1,1,3,3,1,4,4,1,1,4,2,1,2,1,1,1.75,2.857143,2.333333,2,2.86,1.8,2
900,0,3,0,1,2,4,4,3,2,2,3,3,3,3,3,2,2,3,3,2,3,2,2,2,3,2,2,3,3,3,3,2,2,3,2.75,2.714286,2.666667,3.13,2.43,2.8,3
901,0,2,0,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,3,1,3,1,1,1,3,3,1,2,1,2,1,2.714286,1.333333,1.5,3,1.2,2.25
902,0,2,0,2,3,3,1,2,3,1,2,2,1,1,2,3,3,2,3,2,1,3,3,1,3,1,1,1,3,1,1,2,3,1,1.625,2.857143,2.166667,1.38,2.43,1.6,2.5
903,0,2,0,2,4,3,1,2,3,4,3,3,3,3,2,4,3,2,4,1,4,4,3,3,2,1,2,2,3,2,1,3,2,1,2.125,3.142857,3.166667,2.5,1.57,3,3
904,1,1,0,1,3,3,1,1,1,1,4,1,1,1,2,3,1,2,2,2,1,4,3,1,3,1,1,1,3,1,1,2,1,1,1.25,3.285714,1.166667,1,3,1.2,1.25
905,0,2,0,1,2,4,1,2,1,1,3,1,2,2,2,3,2,2,1,2,3,2,1,2,1,2,2,2,2,2,3,2,1,1,1.875,2.285714,1.5,2.38,1.71,1.8,3
906,0,2,0,2,1,3,1,1,1,1,3,3,2,1,2,4,1,4,4,3,2,4,4,1,3,1,1,1,3,3,1,1,3,2,1.5,3.428571,2.5,2.63,2.29,2,2
907,0,1,0,2,2,3,2,1,1,1,2,3,3,1,1,2,2,4,4,1,4,3,2,2,2,1,2,2,2,2,2,3,1,4,2,2.285714,2.666667,3.13,1.57,2.6,3
908,0,2,0,2,2,3,2,2,3,3,2,2,2,3,2,3,2,2,2,3,1,4,4,3,2,2,2,2,2,2,2,2,2,2,2.125,2.857143,2,1.75,2.29,2.2,2.25
909,1,2,0,2,2,3,1,2,2,1,3,1,2,1,3,3,1,1,2,1,1,3,3,1,3,1,1,1,3,2,1,2,1,2,1.375,3,1.5,1.5,2.86,1.2,1.75
910,0,1,0,2,3,3,2,3,1,2,4,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2.571429,1.833333,2.25,1.43,2.4,2.5
911,0,1,0,1,1,2,1,2,1,1,2,2,2,1,1,3,1,1,1,1,1,4,3,1,3,1,3,1,1,4,2,2,2,2,1.375,2.571429,1.5,1.38,2.43,1.6,2
912,0,1,0,2,3,3,1,1,1,1,2,3,2,1,2,3,2,2,4,2,2,4,4,2,3,1,1,2,3,3,1,3,3,4,1.625,3.142857,2.5,1.63,1.14,2.2,3
913,0,2,0,2,1,3,2,1,2,3,1,4,2,1,2,3,2,1,2,2,3,1,3,1,2,3,1,2,3,1,2,3,2,2,1.5,2.285714,2.5,2.38,1.14,3,3
914,1,1,0,1,2,4,1,2,2,1,4,2,2,1,2,4,2,4,4,1,2,4,4,2,4,1,4,2,4,2,1,2,1,1,2.375,4,2.166667,2.5,2.14,3.4,3.5
915,0,1,0,2,2,3,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1.75,2.142857,1.666667,1.88,2.14,1.4,1.75
916,1,2,0,1,2,4,1,2,1,2,3,2,2,2,1,3,2,1,4,2,2,3,3,2,3,2,2,2,3,3,2,2,3,2,1.625,3.142857,2.333333,1.38,1.57,2.2,2
917,0,3,0,2,1,3,1,1,1,1,4,1,1,2,2,4,1,2,3,1,2,3,4,2,3,1,1,1,3,1,1,4,3,3,1.375,3.428571,1.833333,1.75,2.86,1.4,2.5
918,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.43,2.6,2.5
919,0,1,0,1,2,3,2,2,1,1,2,2,3,1,1,2,3,2,4,4,2,3,3,1,3,1,3,1,4,3,1,1,3,2,1.875,2.857143,2.5,1.88,1.43,1.6,2.25
920,1,1,0,3,1,3,2,4,1,1,2,1,1,2,2,2,1,1,2,3,1,3,3,2,3,1,2,3,2,2,3,2,1,1,2.125,2.571429,1.166667,1.38,2.43,1,1.5
921,0,2,0,2,3,3,3,2,2,3,3,3,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,3,2.875,2.857143,2.166667,2.63,2.43,2.2,2.25
922,0,2,0,1,2,3,1,1,2,1,2,2,2,1,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1.375,1.857143,1.666667,1.5,2.29,1.4,1.5
923,0,1,0,1,2,2,2,1,1,3,1,1,1,1,1,3,1,1,1,1,2,3,2,1,1,2,3,3,2,2,2,1,1,3,1.625,2,1.166667,1,2.86,1.2,1.5
924,1,1,0,1,2,4,2,2,1,3,4,1,1,1,1,4,1,4,3,1,1,4,4,1,4,1,2,1,1,1,1,2,2,1,1.75,3.571429,1.5,1.25,2.86,1,1.25
925,0,3,0,1,4,4,1,1,1,1,4,1,1,1,1,4,1,4,4,1,1,4,4,1,4,4,1,1,4,1,1,1,1,1,1.375,4,1.5,1.38,1.86,1,1.75
926,0,2,0,2,1,4,1,1,1,1,4,1,1,1,2,3,1,1,2,1,1,4,4,1,4,1,1,1,4,2,4,2,1,2,1.125,3.857143,1.166667,1.38,3.43,1,2
927,0,1,0,3,2,2,2,2,2,3,3,2,2,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2.25,2.285714,2.333333,2.63,2.14,2.2,2
928,0,1,0,1,2,3,2,3,4,2,1,3,2,3,4,2,3,2,1,3,4,2,3,3,2,1,3,4,2,2,3,2,3,2,3,2.142857,2.833333,2.5,2.57,2.2,1.75
929,0,2,0,1,1,3,1,1,1,1,3,1,1,1,1,4,1,1,1,2,1,4,4,1,4,1,1,1,4,1,1,1,1,1,1,3.714286,1,1,3.57,1,1.5
930,0,1,0,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1.625,1.714286,1.333333,1.63,1.71,1.4,1.5
931,0,1,,1,2,3,1,1,1,2,3,1,1,1,1,3,1,1,1,1,1,3,2,1,3,1,1,1,3,1,1,2,1,2,1,2.857143,1,1,3,1.2,1.25
932,0,1,,1,1,3,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,4,4,2,4,1,2,1,1,1,1,1,1,1,1.25,3.285714,1,1.25,2.29,1.2,1.25
933,0,1,0,1,1,2,2,2,1,1,4,1,1,1,2,3,1,2,3,2,2,3,3,1,3,1,1,1,4,1,1,4,1,1,1.5,3.142857,1.5,1.38,2.57,1.2,1.75
934,0,2,0,1,2,3,1,1,1,1,3,1,1,1,2,3,1,2,2,1,2,3,3,1,3,1,1,2,3,1,1,2,1,3,1.375,3,1.333333,1.63,2.29,1.6,1.75
935,0,2,0,2,1,3,1,1,1,1,3,1,1,1,1,4,1,1,3,1,1,2,2,1,3,1,2,2,3,2,3,3,1,1,1.25,2.857143,1.333333,1.38,2.29,1.8,1.5
936,0,2,0,2,3,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,1,2,2,2.333333,2.5,2.71,2.4,2.5
937,0,3,0,2,1,2,1,1,2,1,3,1,1,1,2,3,1,1,1,1,2,3,3,1,3,3,1,1,2,1,1,2,1,1,1.125,2.714286,1.333333,1.13,2.71,1,1
938,0,1,0,2,2,1,3,1,2,2,1,2,1,1,1,1,3,2,2,2,2,1,3,3,2,3,1,1,1,1,1,1,1,1,1.875,1.428571,1.666667,1.38,2.71,1.2,2
939,0,1,0,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,4,4,1,4,1,1,1,4,1,1,1,1,2,1,4,1,1,4,1,1
940,0,2,0,3,1,2,1,2,2,2,2,1,2,2,3,2,1,2,3,1,1,3,3,2,3,1,1,2,3,1,1,2,2,2,1.75,2.571429,1.833333,1.25,2.43,1.2,2
941,0,3,0,2,2,3,2,1,1,3,3,1,1,2,2,3,1,2,2,2,1,3,3,2,3,1,1,2,4,2,1,3,1,3,1.625,3.142857,1.166667,1.38,2.57,1.6,2
942,0,1,0,1,1,3,1,2,1,1,3,1,2,1,1,3,2,3,3,1,1,3,3,1,3,1,1,1,1,2,2,3,2,2,1.5,2.714286,1.666667,1.25,2,2.4,2
943,0,3,0,2,2,3,1,1,1,3,1,1,1,1,3,4,1,4,3,1,2,3,4,1,4,1,2,1,4,1,2,3,2,1,1.75,3.285714,1.666667,1.63,3,1.6,1.75
944,0,1,0,1,2,3,1,1,1,1,2,1,1,1,1,3,1,2,1,1,1,2,3,2,3,1,1,1,3,2,1,1,2,3,1.25,2.714286,1.166667,1.63,2.71,1.6,1
945,0,2,0,2,3,2,4,3,2,3,1,2,4,3,2,4,1,3,2,3,2,4,3,1,3,2,3,4,2,1,3,2,4,3,2.625,2.714286,2.666667,2.25,2.86,2,2.5
946,1,1,0,2,2,2,2,1,1,2,4,1,1,1,1,4,1,4,1,1,1,4,4,1,4,1,3,2,1,1,1,1,1,1,1.875,3.285714,1,1.25,3.57,1,1
947,0,1,0,2,2,3,1,2,1,2,3,1,1,1,4,3,2,2,3,1,1,3,3,2,3,2,2,1,2,2,2,2,1,3,2,2.857143,1.333333,1.88,2.57,1.6,1.25
948,0,3,0,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,3,2,2,3,3,2,3,2,3,3,3,3,3,2,2,3,2.5,2.571429,2.166667,3.13,2.14,2,2.75
949,0,3,0,1,2,2,1,2,1,2,3,1,2,1,2,2,2,2,1,3,1,4,3,3,2,3,3,2,2,2,2,2,1,3,2.125,2.571429,1.166667,2.88,1.86,2.2,2.5
950,0,1,0,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,3,3,3,2,3,2,3,2,3,2,3,2.375,2.428571,2.333333,2.38,2.29,2.6,1.75
951,0,3,0,2,2,3,1,2,1,1,3,1,1,2,2,3,1,2,2,1,1,3,3,1,3,1,1,1,3,1,1,2,1,2,1.375,3,1.166667,1.25,2.57,1.2,1.75
952,0,3,0,2,1,3,2,2,2,1,3,1,2,1,2,3,2,2,3,2,2,3,3,2,3,1,2,2,2,2,2,2,2,2,2,2.857143,2,1.5,2.71,1.4,2
953,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,3,3,3,3,2,2,2,3,3,2.25,2.285714,2.5,2,2,2,2
954,0,1,0,2,2,4,2,1,2,4,1,3,2,1,4,2,2,3,3,3,1,3,3,2,3,2,3,2,1,3,2,4,3,2,2.375,2.428571,2.333333,2.38,2.43,2.4,2.25
955,0,3,0,3,2,3,4,2,2,1,2,2,3,2,3,2,1,3,4,3,2,2,2,3,2,3,4,1,2,3,2,3,2,3,2.625,2.142857,2.5,2.38,1.86,3,2.5
956,0,2,0,2,2,3,1,1,2,1,4,1,1,1,1,4,1,2,1,1,1,3,4,1,3,1,1,1,3,1,1,2,1,1,1.125,3.428571,1.166667,1.38,2.71,1.2,1.75
957,0,2,0,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1.125,1.142857,1.5,1,3.14,1,1
958,0,2,0,1,1,4,1,2,1,2,4,1,1,2,1,4,1,2,2,2,1,4,4,2,4,1,1,2,1,2,1,2,1,2,1.5,3.571429,1.166667,1.25,1.29,2.6,1.75
959,0,2,0,2,3,3,2,2,1,2,3,2,2,2,2,3,1,2,2,3,3,3,3,2,3,2,1,2,3,2,1,2,3,1,1.75,3,2.166667,2.13,2,2.2,2.5
960,0,2,0,1,1,4,1,1,2,4,4,1,2,2,1,4,1,2,3,1,3,4,4,1,4,1,2,1,1,2,1,3,1,2,1.25,3.571429,2,1.63,3,2,2
961,1,3,0,1,1,2,1,1,1,1,2,1,1,1,1,1,4,1,3,1,2,3,3,1,2,3,2,1,1,2,1,3,1,1,1.5,2,1.5,2,1.86,1.8,2
962,0,2,0,2,2,3,1,1,2,1,4,1,1,1,1,4,1,2,1,1,1,3,4,1,3,1,1,1,3,1,1,2,1,1,1.125,3.428571,1.166667,1.38,2.71,1.2,1.75
963,1,1,0,1,1,3,1,1,2,1,3,1,1,1,1,3,2,2,2,2,1,3,3,1,3,1,1,1,3,2,2,3,2,1,1.25,3,1.5,2.25,1.86,2,2.5
964,0,1,0,3,2,3,3,3,2,2,3,2,3,2,2,3,2,3,2,3,2,3,2,1,1,2,3,1,2,2,3,2,3,2,2.25,2.428571,2.333333,2.75,2.14,2,3
965,0,3,0,1,2,3,2,1,1,2,4,1,2,2,2,3,1,2,2,2,1,2,3,1,3,1,2,2,2,1,2,1,1,1,1.625,2.857143,1.333333,1.38,2.43,1.4,1.5
966,0,2,0,1,2,4,1,3,1,1,3,2,1,2,1,4,1,2,3,2,4,2,4,3,2,2,2,3,2,3,2,3,4,3,2,3,2.5,1.25,3.14,1,1.5
967,0,2,0,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,2,1,2,3,3,2,3,1,1,1,1,2,1,1,1,1,1.125,2.714286,1.333333,1.25,2.29,1.2,2.25
968,0,2,0,2,2,3,1,2,4,4,3,4,4,2,2,2,3,2,2,1,2,2,2,1,1,1,1,1,1,2,2,3,4,3,1.625,2,3.333333,1.75,1.43,2.2,1.5
969,0,1,0,2,2,3,4,2,3,4,3,3,2,2,3,4,4,3,2,2,3,4,2,2,3,3,2,2,3,2,2,3,2,2,2.75,3.142857,2.5,2.5,2.71,3,2.5
970,0,3,0,1,2,3,3,3,2,3,2,3,1,2,2,3,1,1,2,2,1,4,3,1,4,2,4,3,3,3,2,3,1,1,2.25,3.142857,1.666667,1.75,2.86,2,1.75
971,0,1,0,2,2,4,2,1,2,1,1,1,2,1,1,4,1,2,3,1,1,4,1,2,3,1,1,1,2,2,1,2,1,2,1.375,2.714286,1.666667,2.75,2.14,2.2,2.75
972,1,3,0,2,1,4,1,2,1,2,3,2,2,1,3,2,2,1,1,1,1,4,3,2,2,2,2,1,3,4,4,4,1,1,1.75,3,1.333333,2.38,2.14,3,2.75
973,1,2,0,1,1,3,2,1,1,1,3,1,1,1,2,3,1,2,1,1,2,3,4,1,3,1,1,1,3,1,1,2,1,3,1.375,3.142857,1.166667,1.5,3.43,1,1.25
974,0,2,0,2,1,2,4,4,3,3,2,2,2,3,4,3,3,3,3,2,3,2,2,3,2,2,2,2,3,2,2,4,3,2,3.125,2.285714,2.666667,2.5,2.14,2.6,2.25
975,1,2,0,1,1,3,1,1,1,1,3,2,2,1,2,2,1,2,2,1,1,3,3,1,3,1,1,1,2,2,3,1,1,1,1.25,2.714286,1.5,3.88,2,1.4,3
976,0,2,0,1,1,4,1,2,1,1,4,1,1,1,1,3,1,2,2,1,1,4,3,1,4,1,3,1,4,1,1,1,1,1,1.5,3.714286,1.166667,1.13,3,1.2,1
977,1,3,0,2,2,3,1,1,1,1,4,1,1,1,3,3,1,2,2,1,2,4,4,2,4,1,1,1,3,2,2,2,1,3,1.5,3.571429,1.333333,3.13,1.43,2.6,2.75
978,1,4,0,1,1,3,1,1,1,1,4,2,1,1,2,4,1,3,1,1,2,3,3,1,4,1,1,1,3,1,1,2,2,4,1.375,3.428571,1.5,1.25,3.29,1,2
979,,4,0,1,2,2,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,4,2,4,3,4,4,3,2,3,3,1,1,3,2.25,2.285714,1.5,2.88,2.43,2.2,2
980,1,3,0,1,1,4,1,1,1,4,3,1,1,1,1,4,2,1,1,2,1,4,4,1,4,1,1,1,4,4,4,1,1,1,1.125,3.857143,1,2.13,3.14,2.2,2
981,1,4,0,2,1,2,2,1,1,1,2,1,1,1,1,4,1,1,1,4,2,3,4,2,3,1,2,2,3,3,1,2,1,1,1.5,3,1.166667,1,2.14,1,1.25
982,1,4,0,2,2,3,2,2,2,2,3,1,2,2,2,3,2,2,3,2,2,2,3,2,3,1,2,2,2,2,2,2,1,2,2,2.714286,1.833333,2,2.43,1.8,2
983,1,3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
984,1,3,0,4,3,4,1,1,1,2,4,1,2,1,1,4,1,2,1,1,1,3,2,1,4,1,2,1,2,3,4,2,1,1,1.25,3.285714,1.166667,2.63,1.14,2,2.25
985,1,2,0,2,3,2,1,3,1,1,2,1,1,3,2,2,1,3,2,3,2,3,2,2,3,1,2,2,2,1,1,3,2,1,2,2.285714,1.5,1.5,1.57,1.8,1.75
986,1,4,0,1,1,3,1,1,1,1,3,1,2,1,1,3,1,3,2,1,2,3,3,1,4,4,1,2,3,2,1,1,1,1,1.375,3.142857,1.5,2.25,2.57,1.4,2
987,1,2,0,1,1,3,1,2,2,2,2,2,1,2,2,3,2,3,2,2,2,3,3,2,3,1,2,1,1,2,2,3,1,1,1.875,2.571429,1.666667,2.25,1.43,1.8,2.25
988,0,2,0,1,1,4,1,1,1,1,4,2,1,1,1,4,1,1,1,1,1,4,4,1,4,1,1,1,4,1,1,2,1,2,1,4,1.166667,1.38,2.86,2,1.5
989,0,3,0,2,2,3,2,1,1,1,4,2,2,1,2,4,2,2,2,3,2,4,3,3,3,1,2,2,3,2,1,2,1,1,2,3.428571,1.666667,2.63,1.57,2.6,2
990,1,2,0,2,4,4,2,1,1,1,3,2,2,1,3,4,1,3,2,1,3,4,4,1,4,1,1,1,3,1,3,3,1,4,1.625,3.714286,1.833333,2,1.71,2.2,2
991,0,3,0,2,2,3,1,2,1,1,2,2,2,2,3,3,1,2,3,1,3,3,3,2,3,1,2,1,3,2,2,2,1,3,1.75,2.857143,2,2.13,2,2.2,2.25
992,0,3,0,2,1,4,1,1,2,1,4,2,3,1,2,3,2,3,2,3,2,4,2,2,3,1,2,1,3,4,2,3,2,1,1.75,3.285714,2.166667,2.88,1.43,3.4,3
993,,3,0,1,4,3,1,1,1,3,4,2,2,2,2,4,1,2,1,1,2,3,3,1,4,2,2,1,1,2,1,3,1,1,1.375,3.142857,1.5,2.5,2,2,2.5
994,1,2,0,3,4,4,1,2,1,1,4,2,2,2,3,3,1,3,2,4,1,2,2,2,4,1,1,2,3,1,1,2,2,2,1.875,3.142857,1.666667,2.75,1.29,2.6,3
995,1,3,0,1,2,4,2,1,1,1,4,2,2,1,1,4,1,1,2,1,1,3,3,1,4,2,1,1,2,2,1,2,1,2,1.125,3.428571,1.5,1.75,2.29,1.4,2
996,,3,0,1,1,4,1,1,1,4,4,1,1,1,1,4,1,1,2,1,1,4,4,1,4,4,1,1,1,1,1,2,1,1,1,3.571429,1.166667,1.75,2.43,1.6,1.5
997,1,3,0,1,1,3,1,1,1,1,4,1,2,1,3,3,3,4,1,2,2,4,3,2,4,1,1,1,3,1,1,2,1,2,2,3.428571,1.333333,2.13,2.71,1.6,1.75
998,1,3,0,2,1,3,2,2,1,2,3,2,2,3,3,2,3,1,1,1,2,3,2,3,2,1,3,3,1,2,2,2,1,4,2.5,2.285714,1.5,1.63,2.57,1.6,1.75
999,1,3,0,1,1,1,1,1,2,1,4,2,2,1,2,4,2,1,3,1,2,4,4,1,4,1,1,2,4,1,1,2,2,4,1.375,3.571429,2.166667,1.63,3.29,2.4,2.25
1000,1,2,0,3,1,3,1,1,1,4,3,1,2,1,3,3,3,4,2,2,2,3,4,3,3,1,1,2,3,2,1,2,1,3,2.25,3.142857,1.5,2.75,1.43,2.2,2.25
1001,1,2,0,2,1,2,2,2,2,3,4,1,2,2,2,2,1,1,3,2,2,2,2,1,4,1,2,2,2,2,2,3,2,3,1.625,2.571429,2,1.63,2.14,1.8,1.75
1002,1,4,0,1,3,4,4,2,1,4,4,1,2,2,4,4,1,2,1,2,2,4,3,1,4,1,1,2,2,2,3,3,1,2,2.125,3.571429,1.333333,1.5,2.86,1.4,2
1003,1,2,0,2,3,3,2,2,1,1,3,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,4,2.375,2.285714,1.833333,1.75,1.57,2.8,1.5
1004,,,,2,2,3,1,2,1,1,4,2,1,2,4,3,2,4,1,2,1,3,2,2,4,1,2,1,2,2,2,2,1,2,2.25,3,1.166667,2.5,2,2,2
